,gameid,blue_top_player,blue_top_champion,blue_jng_player,blue_jng_champion,blue_mid_player,blue_mid_champion,blue_bot_player,blue_bot_champion,blue_sup_player,blue_sup_champion,red_top_player,red_top_champion,red_jng_player,red_jng_champion,red_mid_player,red_mid_champion,red_bot_player,red_bot_champion,red_sup_player,red_sup_champion,top_counter_winrate,mid_counter_winrate,jng_counter_winrate,bot_counter_winrate,sup_counter_winrate,result
424,ESPORTSTMNT03/1301242,0.42105263157894735,0.45901639344262296,0.391304347826087,0.4344262295081967,0.4117647058823529,0.46808510638297873,1.0,0.4442916093535076,0.4166666666666667,0.5136436597110754,0.2,0.46741154562383613,0.2,0.5528455284552846,0.35714285714285715,0.5833333333333334,0.25,0.47107438016528924,0.36363636363636365,0.4797734627831715,0.3972602739726027,1.0,0.75,0.46464646464646464,0.46629213483146065,1
425,6371-8211,0.46153846153846156,0.4885386819484241,0.4117647058823529,0.45164835164835165,0.43478260869565216,0.4746268656716418,0.42857142857142855,0.4838709677419355,0.4375,0.4946236559139785,0.6,0.46741154562383613,0.6,0.44981412639405205,0.5862068965517241,0.4935064935064935,0.7619047619047619,0.4728213977566868,0.6923076923076923,0.46601941747572817,0.512,0.46938775510204084,0.3942307692307692,0.5789473684210527,0.4166666666666667,1
426,ESPORTSTMNT02/1260366,0.4375,0.4711111111111111,0.6,0.5009009009009009,0.6666666666666666,0.5757575757575758,0.6,0.4663805436337625,0.4375,0.4946091644204852,0.5,0.53125,0.5,0.459915611814346,0.5,0.5714285714285714,0.5,0.47107438016528924,0.5,0.5411471321695761,0.475,0.0,0.4742268041237113,0.42201834862385323,0.573170731707317,0
427,ESPORTSTMNT01/1402250,0.6,0.448,0.7777777777777778,0.5009009009009009,0.6,0.4337606837606838,0.6666666666666666,0.47530864197530864,0.6666666666666666,0.4543010752688172,0.75,0.5244565217391305,0.45454545454545453,0.45883777239709445,0.35714285714285715,0.49038461538461536,0.5,0.5204991087344029,0.36363636363636365,0.44883720930232557,0.5714285714285714,0.49206349206349204,0.5692307692307692,0.4895833333333333,0.42857142857142855,1
428,ESPORTSTMNT03/1401865,0.5,0.5103626943005182,0.4166666666666667,0.4574314574314574,0.43243243243243246,0.5,0.4883720930232558,0.4442916093535076,0.36363636363636365,0.44715447154471544,0.5294117647058824,0.5254237288135594,0.59375,0.49870801033591733,0.5714285714285714,0.4915254237288136,0.5806451612903226,0.487778958554729,0.5806451612903226,0.46774193548387094,0.42857142857142855,0.5,0.4,0.3954248366013072,0.42857142857142855,0
429,ESPORTSTMNT02/1284112,0.4444444444444444,0.4618973561430793,0.4666666666666667,0.4954954954954955,0.4666666666666667,0.42487883683360256,0.5294117647058824,0.4442916093535076,0.5294117647058824,0.4946091644204852,0.2,0.46741154562383613,0.5,0.5528455284552846,0.2,0.3984375,0.5882352941176471,0.487778958554729,0.47619047619047616,0.4797734627831715,0.46551724137931033,0.2857142857142857,0.5,0.3954248366013072,0.4508670520231214,0
430,ESPORTSTMNT01/1436005,0.3870967741935484,0.44976076555023925,0.3870967741935484,0.4331896551724138,0.42857142857142855,0.4954819277108434,0.4,0.47530864197530864,0.375,0.3957345971563981,0.2857142857142857,0.4166666666666667,0.38461538461538464,0.44981412639405205,0.38461538461538464,0.362962962962963,0.2857142857142857,0.4783362218370884,0.38461538461538464,0.515625,0.3333333333333333,0.3,0.5294117647058824,0.45588235294117646,0.25,0
431,ESPORTSTMNT05/1520517,0.47368421052631576,0.4618973561430793,0.8,0.4331896551724138,0.5454545454545454,0.4659498207885305,0.6666666666666666,0.43103448275862066,1.0,0.4543010752688172,0.4166666666666667,0.4604105571847507,0.7272727272727273,0.5129533678756477,0.5384615384615384,0.4935064935064935,0.6666666666666666,0.4728213977566868,0.6111111111111112,0.4269005847953216,0.3898305084745763,0.4117647058823529,0.45901639344262296,0.44680851063829785,0.35714285714285715,1
432,ESPORTSTMNT03/1430952,0.44,0.5170731707317073,0.44,0.45164835164835165,0.4090909090909091,0.4666666666666667,0.5714285714285714,0.4839650145772595,0.4375,0.4940239043824701,0.38461538461538464,0.4604105571847507,0.6666666666666666,0.4966216216216216,0.38461538461538464,0.4801699716713881,0.38461538461538464,0.49712643678160917,0.5714285714285714,0.5044326241134752,0.5714285714285714,0.4166666666666667,0.4915254237288136,0.5242718446601942,0.538961038961039,1
433,ESPORTSTMNT01/1580806,0.6,0.5103626943005182,0.5,0.45384615384615384,1.0,0.4666666666666667,0.6086956521739131,0.5166666666666667,0.6,0.4543010752688172,0.6,0.4462809917355372,0.6428571428571429,0.5370370370370371,0.6,0.5060975609756098,0.6111111111111112,0.49712643678160917,0.45,0.47761194029850745,0.7272727272727273,0.4090909090909091,0.6666666666666666,0.7,0.4583333333333333,1
