"Round","max.depth","min_child_weight","nrounds","gamma","eta","Value","ks_dev","ks_hold","vars","dev_auc","hold_auc"
25,4,74,91,38,0.101525842398405,13.8115772164299,36.1777753115877,13.8115772164299,9,0.746366531334486,0.575035205723882
26,5,183,54,46,0.337836631236132,15.2611346301868,26.9553547665802,15.2611346301868,6,0.683559897420194,0.589086881603806
27,6,149,210,19,0.194731437286828,13.4984430760619,30.9079176004793,13.4984430760619,14,0.711352626475304,0.591475841438668
28,4,151,105,41,0.264382213330828,14.6486425022742,28.3173493389069,14.6486425022742,7,0.689225695097385,0.587740426667133
29,5,132,83,34,0.073842175595928,14.2132723392345,28.6164570918892,14.2132723392345,7,0.690640808663726,0.587734413267091
30,4,161,84,37,0.366446269326843,14.5336225596529,28.0602284719589,14.5336225596529,7,0.689285945491033,0.588153711251837
31,5,252,50,8,0.0628584304685455,14.9357550206424,28.9214014947167,14.9357550206424,14,0.695823575612533,0.593848947764328
32,5,216,50,38,0.183812547229137,15.4857077881184,27.0081312341946,15.4857077881184,6,0.681518337322053,0.596002291652089
33,3,99,50,50,0.0500000000000002,14.1231806731509,33.1139657261234,14.1231806731509,7,0.723720638208888,0.582935720033587
34,3,228,50,8,0.172689833000836,14.2239871247638,31.2441826172648,14.2239871247638,21,0.712584145891581,0.591985887096775
35,6,218,250,8,0.205827663876603,13.6023108949689,32.5618679745695,13.6023108949689,25,0.719851871033333,0.591550188930096
36,3,253,50,30,0.0654293629568224,15.7728203064866,27.5118094539341,15.7728203064866,9,0.683942328145086,0.592780202575047
37,5,253,250,26,0.110633648707005,15.4627475334126,27.6866006755306,15.4627475334126,9,0.687879360832038,0.593374435833742
38,4,242,50,29,0.142668258345788,16.7413057168847,27.9708496333084,16.7413057168847,10,0.690429058843638,0.594331113113148
39,5,254,50,26,0.145275738257664,15.2458277937163,27.9462493873059,15.2458277937163,10,0.690527535183456,0.594422954131971
40,6,232,50,28,0.0500000000000002,15.6720138548737,27.967828550466,15.6720138548737,9,0.685109178577165,0.593920015219369
41,6,151,87,50,0.4,14.8898345112308,27.2836252172046,14.8898345112308,6,0.683678343049095,0.582018403190819
42,3,238,50,38,0.220852184037496,16.896998110699,26.753435454154,16.896998110699,6,0.679595907905612,0.594776104716255
43,3,231,116,31,0.203304715779488,15.8965870128053,27.2727945324566,15.8965870128053,9,0.687399344335966,0.5938555078371
44,3,246,50,50,0.175818430734808,15.5849835560842,27.3018544721788,15.5849835560842,6,0.679942099337451,0.596074452452593
45,3,245,50,45,0.368885943009814,14.9906409628437,26.925246696076,14.9906409628437,5,0.676661826768644,0.590385776012875
46,4,235,154,23,0.0500000000000002,16.2143132041145,28.4185042351677,16.2143132041145,11,0.691315037628236,0.593706266181513
47,3,233,50,35,0.129425702761999,15.3619410817997,27.9140039520696,15.3619410817997,8,0.685798958240209,0.595689048177175
48,5,240,80,43,0.246995594334072,15.0671751451963,27.3695513897495,15.0671751451963,6,0.678340925430975,0.594385233713526
49,4,220,59,50,0.0500000000000002,14.538651948779,26.9713233473187,14.538651948779,6,0.680594201096564,0.595626727485831
50,3,259,50,31,0.224257363625352,14.6409890840389,28.0973240810102,14.6409890840389,9,0.687035375784,0.592692188265341
51,3,224,50,50,0.300167034847346,15.3466342453292,26.6415526310652,15.3466342453292,5,0.676050828177455,0.593918921873907
52,3,222,50,50,0.0500000000002531,14.8487247218529,27.1064294602846,14.8487247218529,6,0.680569196669411,0.595613607340285
53,4,228,83,47,0.0746215336691961,15.2764414666573,26.9040169098433,15.2764414666573,6,0.680525593058771,0.595021014099783
54,4,261,139,46,0.0712596871378595,14.7111818627108,27.0029111318682,14.7111818627108,6,0.6783386305041,0.595462178993772
55,5,207,50,50,0.0572635561396515,14.9204481841719,27.1319134243974,14.9204481841719,6,0.681837023884023,0.595264830137849
56,6,232,57,37,0.143674779920501,15.7957805611924,27.1412643951001,15.7957805611924,6,0.679921444995569,0.594620302987895
57,6,223,98,49,0.0671369635297713,15.5849835560842,27.5714707021757,15.5849835560842,6,0.681157211739201,0.596666499020362
58,4,227,62,38,0.0523760293668197,15.4857077881184,27.8123558177938,15.4857077881184,6,0.681724195688072,0.595028667518019
59,3,231,53,47,0.0500000000000002,15.059521726961,27.37142158389,15.059521726961,6,0.680829756501408,0.594876692498776
60,4,235,50,33,0.2470005540489,15.6720138548737,27.5183037544661,15.6720138548737,8,0.685577377912459,0.592793322720594
