Round,max.depth,min_child_weight,nrounds,gamma,eta,Value,ks_dev,ks_hold,vars,dev_auc,hold_auc
27,6,149,210,19,0.194731437,15.0292658,25.28163072,15.0292658,3,0.665159489,0.581432018
28,3,151,105,41,0.264382213,15.14830753,23.1640534,15.14830753,3,0.661150238,0.587074684
29,6,132,83,34,0.073842176,14.94979473,23.77975072,14.94979473,3,0.664682989,0.586544327
30,4,161,84,37,0.366446269,14.87790803,25.38011219,14.87790803,3,0.662569168,0.58374855
31,6,197,238,14,0.051318914,13.8995235,25.93759912,13.8995235,8,0.671364731,0.586323941
32,2,280,208,24,0.348694488,15.94895385,21.70864319,15.94895385,3,0.647967549,0.596777739
33,5,182,209,43,0.061656483,15.03553115,23.25483096,15.03553115,3,0.6613805,0.591506598
34,6,279,250,18,0.05,15.40551681,22.34330609,15.40551681,3,0.65025505,0.597070672
35,4,280,50,50,0.202777086,16.93558227,22.15898688,16.93558227,2,0.650516751,0.602254428
36,6,183,50,8,0.336452935,15.25284002,29.08046745,15.25284002,10,0.691258275,0.593425225
37,2,280,250,50,0.096949968,16.49173138,21.89123826,16.49173138,2,0.64382779,0.602641341
38,7,283,231,50,0.398819201,16.93558227,21.00303039,16.93558227,1,0.631807324,0.602268718
39,6,280,134,50,0.258996546,16.93558227,22.82138661,16.93558227,2,0.650008539,0.602990333
40,5,189,50,50,0.110957765,14.94979473,23.25483096,14.94979473,3,0.661117637,0.590091397
41,2,213,250,8,0.051901795,14.64444115,27.20536499,14.64444115,10,0.67891573,0.593699472
42,6,178,50,50,0.116967995,15.03553115,23.44927609,15.03553115,3,0.659485173,0.590648684
43,7,300,50,47,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
44,4,300,50,39,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
45,4,270,50,43,0.4,16.93558227,22.82138661,16.93558227,2,0.648785833,0.600483092
46,7,300,50,8,0.4,16.40137838,24.50665533,16.40137838,10,0.664492375,0.603146417
47,7,300,125,50,0.05,16.49173138,21.17395327,16.49173138,1,0.63659114,0.601555347
48,5,300,250,40,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
49,4,300,50,41,0.05,16.49173138,21.17395327,16.49173138,1,0.634435823,0.60318269
50,6,274,134,38,0.4,16.93558227,22.15898688,16.93558227,2,0.646672628,0.601043127
51,6,290,250,46,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
52,2,300,250,8,0.05,15.36924371,23.56620316,15.36924371,9,0.658157617,0.600050013
53,2,300,50,20,0.4,14.95671959,22.35772869,14.95671959,2,0.6453553,0.601570735
54,6,279,50,48,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
55,5,279,246,41,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
56,5,268,50,39,0.056769033,15.36594615,23.30708894,15.36594615,2,0.653006018,0.595721423
57,6,300,247,24,0.05,16.29025078,21.96149028,16.29025078,2,0.641236853,0.601502586
58,7,300,50,46,0.05,16.49173138,21.17395327,16.49173138,1,0.634435823,0.60318269
59,3,250,70,8,0.4,15.61952812,26.71004303,15.61952812,10,0.680777463,0.593471391
60,2,299,141,42,0.4,16.93558227,22.35772869,16.93558227,2,0.643686745,0.601264063
